,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
45,2d70dbe5,Paul Nardi,Lorient,Ligue 1,187,77,Goalkeeper,Right,France,27.6,Paul Nardi - 27.6 - Lorient,1.72,4.2,2.72,63.8,0.24,0.32,0.44,0.16,16.0,0.28,0.2,0.04,0.04,16.7,0.12,0.24,0.04,1.42,0.3,-0.26,3.64,14.72,24.7,17.08,3.56,50.6,43.0,8.48,71.7,56.5,8.92,0.32,3.6,0.32,13.2
46,ecada4fc,Keylor Navas,Paris S-G,Ligue 1,183,78,Goalkeeper,Right,Costa Rica,35.03,Keylor Navas - 35.03 - Paris S-G,1.01,4.42,3.39,77.8,0.64,0.2,0.2,0.28,27.0,0.06,0.03,0.03,0.0,50.0,0.03,0.11,0.0,1.15,0.25,0.14,3.67,7.7,47.6,22.54,4.7,26.8,31.2,7.06,23.4,28.0,7.95,0.28,3.5,0.56,13.3
47,afb0c500,Alexander Nübel,Monaco,Ligue 1,193,75,Goalkeeper,Right,Germany,25.24,Alexander Nübel - 25.24 - Monaco,1.12,3.0,2.19,70.5,0.46,0.31,0.23,0.19,19.2,0.27,0.23,0.0,0.04,0.0,0.0,0.15,0.08,1.09,0.29,0.05,4.77,14.12,33.8,26.62,3.69,37.6,36.3,7.27,56.6,46.8,6.77,0.42,6.3,0.62,15.4
48,c631f952,Jonas Omlin,Montpellier,Ligue 1,189,80,Goalkeeper,Right,Switzerland,27.95,Jonas Omlin - 27.95 - Montpellier,1.34,5.03,3.8,75.5,0.38,0.34,0.31,0.21,20.0,0.1,0.1,0.0,0.0,0.0,0.0,0.17,0.0,1.32,0.25,-0.01,7.74,16.1,48.1,27.57,5.96,39.3,35.9,9.38,56.2,46.0,9.01,0.72,8.0,0.48,14.3
49,ae7d0ecd,Alexandre Oukidja,Metz,Ligue 1,185,78,Goalkeeper,Right,Algeria,33.43,Alexandre Oukidja - 33.43 - Metz,1.69,3.83,2.46,63.4,0.23,0.31,0.46,0.17,17.1,0.29,0.29,0.0,0.0,0.0,0.03,0.11,0.09,1.5,0.32,-0.07,7.67,16.54,46.4,20.23,5.58,53.3,43.4,7.72,74.4,54.7,8.64,0.94,10.9,1.06,16.5
50,b98cea65,Danijel Petković,Angers,Ligue 1,194,80,Goalkeeper,,Montenegro,28.58,Danijel Petković - 28.58 - Angers,1.33,3.83,2.83,73.9,0.33,0.33,0.33,0.17,16.7,0.5,0.33,0.17,0.0,33.3,0.0,0.0,0.0,1.52,0.31,0.18,3.33,8.33,40.0,22.17,6.17,26.3,31.3,6.67,37.5,34.7,8.33,0.67,8.0,1.0,14.0
51,58ad9383,Predrag Rajković,Reims,Ligue 1,191,85,Goalkeeper,Right,Serbia,26.15,Predrag Rajković - 26.15 - Reims,1.1,3.8,2.85,75.0,0.25,0.45,0.3,0.35,35.0,0.2,0.15,0.0,0.05,0.0,0.03,0.15,0.0,1.2,0.28,0.1,6.05,17.45,34.7,29.35,5.0,43.6,39.7,7.88,59.0,47.3,9.0,0.65,7.2,0.88,14.8
52,5f0241b2,Sergio Rico,Paris S-G,Ligue 1,194,90,Goalkeeper,Right,Spain,28.32,Sergio Rico - 28.32 - Paris S-G,1.33,5.14,3.81,74.1,0.57,0.0,0.19,0.57,75.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.43,0.29,0.1,1.71,4.19,40.9,21.12,4.95,16.2,26.7,5.71,13.3,24.8,7.42,0.57,7.7,0.38,13.1
53,74733221,Romain Salin,Rennes,Ligue 1,184,73,Goalkeeper,Left,,37.41,Romain Salin - 37.41 - Rennes,1.2,3.4,2.2,64.7,0.2,0.4,0.4,0.2,20.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.0,1.06,0.32,-0.14,4.8,11.6,41.4,27.0,5.8,26.7,31.1,6.6,66.7,49.6,6.4,0.6,9.4,2.4,19.4
54,834b5c4c,Matz Sels,Strasbourg,Ligue 1,188,75,Goalkeeper,Right,Belgium,29.82,Matz Sels - 29.82 - Strasbourg,1.54,3.83,2.54,65.2,0.33,0.29,0.38,0.17,16.7,0.21,0.21,0.0,0.0,0.0,0.04,0.29,0.04,1.37,0.32,-0.13,5.96,13.92,42.8,19.83,3.38,50.0,40.3,7.08,56.5,46.6,7.79,0.75,9.6,0.42,13.6
55,47064058,Oliver Baumann,Hoffenheim,Bundesliga,187,82,Goalkeeper,Right,Germany,31.56,Oliver Baumann - 31.56 - Hoffenheim,1.54,3.89,2.49,62.5,0.35,0.3,0.35,0.3,29.7,0.19,0.08,0.08,0.03,50.0,0.0,0.24,0.05,1.44,0.34,-0.05,5.78,14.65,39.5,38.62,5.35,31.8,32.5,5.86,40.6,35.0,8.24,0.59,7.2,1.27,15.0
56,d28339cb,Fabian Bredlow,Stuttgart,Bundesliga,191,90,Goalkeeper,Left,,26.81,Fabian Bredlow - 26.81 - Stuttgart,1.6,6.6,5.0,75.8,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.6,0.0,1.88,0.28,0.28,2.8,7.0,40.0,23.4,5.4,26.5,29.7,9.2,8.7,21.4,11.0,0.4,3.6,0.8,15.3
57,25bdea4b,Sascha Burchert,Greuther Fürth,Bundesliga,188,78,Goalkeeper,Right,Germany,32.16,Sascha Burchert - 32.16 - Greuther Fürth,2.11,5.44,3.67,65.3,0.11,0.22,0.67,0.22,22.2,0.22,0.22,0.0,0.0,0.0,0.0,0.33,0.22,1.73,0.29,-0.16,9.44,24.78,38.1,29.89,3.0,59.9,46.5,8.0,86.1,59.5,10.89,0.56,5.1,1.44,16.8
58,db401046,Koen Casteels,Wolfsburg,Bundesliga,196,86,Goalkeeper,Left,Belgium,29.5,Koen Casteels - 29.5 - Wolfsburg,1.3,3.63,2.43,66.9,0.45,0.2,0.35,0.4,40.0,0.2,0.1,0.08,0.03,42.9,0.05,0.13,0.0,1.29,0.33,-0.01,7.23,15.98,45.2,32.38,4.5,36.5,35.4,7.08,58.7,47.9,7.93,0.53,6.6,1.05,15.6
